payment_id,policy_number,transaction_date,paid_amount
p-0001,Policy-0008,4/21/2018,11619.17
p-0002,Policy-0008,5/21/2018,11619.17
p-0003,Policy-0008,6/21/2018,11619.17
p-0004,Policy-0008,7/21/2018,11619.17
p-0005,Policy-0008,8/21/2018,11619.17
p-0006,Policy-0008,9/21/2018,11619.17
p-0007,Policy-0008,10/21/2018,11619.17
p-0008,Policy-0008,11/21/2018,11619.17
p-0009,Policy-0008,12/21/2018,11619.17
p-00010,Policy-0008,1/21/2019,11619.17
p-00011,Policy-0008,2/21/2019,11619.17
p-00012,Policy-0008,3/21/2019,11619.17
p-00013,Policy-0008,4/21/2019,?
p-00014,Policy-0008,5/21/2019,11619.17
p-00015,Policy-0008,6/21/2019,11619.17
p-00016,Policy-0008,7/21/2019,11619.17
p-00017,Policy-0008,8/21/2019,11619.17
p-00018,Policy-0008,9/21/2019,11619.17
p-00019,Policy-0008,10/21/2019,11619.17
p-00020,Policy-0008,11/21/2019,11619.17
p-00021,Policy-0008,12/21/2019,11619.17
p-00022,Policy-0008,1/21/2020,11619.17
p-00023,Policy-0008,2/21/2020,11619.17
p-00024,Policy-0008,3/21/2020,11619.17
p-00025,Policy-0008,4/21/2020,11619.17
p-00026,Policy-0008,5/21/2020,11619.17
p-00027,Policy-0008,6/21/2020,11619.17
p-00028,Policy-0008,7/21/2020,11619.17
p-00029,Policy-0008,8/21/2020,11619.17
p-00030,Policy-0008,9/21/2020,11619.17
p-00031,Policy-0008,10/21/2020,11619.17
p-00032,Policy-0008,11/21/2020,11619.17
p-00033,Policy-0008,12/21/2020,11619.17
p-00034,Policy-0008,1/21/2021,11619.17
p-00035,Policy-0008,2/21/2021,11619.17
p-00036,Policy-0008,3/21/2021,11619.17
p-00037,Policy-00041,6/5/2018,11619.17
p-00038,Policy-00041,7/5/2018,11619.17
p-00039,Policy-00041,8/5/2018,11619.17
p-00040,Policy-00041,9/5/2018,11619.17
p-00041,Policy-00041,10/5/2018,11619.17
p-00042,Policy-00041,11/5/2018,11619.17
p-00043,Policy-00041,12/5/2018,11619.17
p-00044,Policy-00041,1/5/2019,11619.17
p-00045,Policy-00041,2/5/2019,11619.17
