claim_number,reimbursement_number,amount_approved,reimbursement_date
Claim-0001,Reimbursement-0001450,528629.07,1/10/2019
Claim-0001420,Reimbursement-00020,597862,3/30/2019
Claim-0003010,Reimbursement-000164,776444.16,8/31/2018
Claim-0004,Reimbursement-000522,535413.31,4/16/2019
Claim-000686,Reimbursement-000943,594317.57,7/19/2019
Claim-0002380,Reimbursement-000489,534680.67,2/28/2019
Claim-0003328,Reimbursement-0002526,586112,4/2/2019
Claim-00038,Reimbursement-0003541,481487.15,3/31/2019
Claim-000216,Reimbursement-0002480,613490.37,9/19/2018
Claim-0001481,Reimbursement-00098,421436.51,10/27/2018
Claim-0002726,Reimbursement-0003468,686119.19,10/8/2018
Claim-00046,Reimbursement-0001045,596504.11,2/16/2021
Claim-0002234,Reimbursement-0001547,611422.88,6/24/2020
Claim-00048,Reimbursement-0001475,670105.32,9/2/2018
Claim-0003291,Reimbursement-0002594,524416,3/20/2019
Claim-000111,Reimbursement-000758,813757.9,3/19/2019
Claim-0002183,Reimbursement-0001538,644525.77,1/27/2019
Claim-000131,Reimbursement-000465,498071.81,8/13/2018
Claim-000531,Reimbursement-0002156,489815.73,6/23/2019
Claim-0001295,Reimbursement-0001261,570075.67,6/14/2019
Claim-0002502,Reimbursement-000351,506192.54,8/6/2018
Claim-000136,Reimbursement-000724,647132.43,6/6/2021
Claim-0002150,Reimbursement-0001034,672870.65,7/17/2019
Claim-0002561,Reimbursement-0001141,750509.57,12/20/2021
Claim-0003253,Reimbursement-0002912,599615.71,12/16/2021
Claim-000165,Reimbursement-000159,448283.14,5/18/2019
Claim-000330,Reimbursement-0002957,684832.54,5/15/2019
Claim-000169,Reimbursement-0002974,698633.16,9/22/2019
Claim-000870,Reimbursement-0002086,574512.57,1/24/2019
Claim-0002233,Reimbursement-000320,654968.59,12/20/2018
Claim-000170,Reimbursement-0002829,617834.16,7/22/2019
Claim-000880,Reimbursement-0002678,751092.5,6/30/2018
Claim-0001509,Reimbursement-0001563,529222.12,7/12/2018
Claim-0001757,Reimbursement-0001373,592108.08,8/2/2019
Claim-0002149,Reimbursement-0002208,488387.08,4/14/2018
Claim-0002206,Reimbursement-0002223,666291.74,10/7/2018
Claim-000174,Reimbursement-0002803,652862.54,1/29/2020
